col,statistic,p-value
Scatterplot&find_anomalies&reVLAT_NoVizChoices&ChatGPT,37676.0,9.165511598770004e-120
find_anomalies&Gemini,0.0,3.325859118934513e-165
Scatterplot&find_anomalies&Gemini,0.0,3.325859118934513e-165
find_anomalies&reVLAT_VizChoices&Gemini,0.0,3.325859118934513e-165
Scatterplot&find_anomalies&reVLAT_VizChoices&Gemini,0.0,3.325859118934513e-165
find_anomalies&reVLAT_NoVizChoices&Gemini,4546.0,2.4889834589100544e-159
Scatterplot&find_anomalies&reVLAT_NoVizChoices&Gemini,0.0,3.325859118934513e-165
find_anomalies&reVLAT_VizChoices,0.0,3.325859118934513e-165
Scatterplot&find_anomalies&reVLAT_VizChoices,0.0,3.325859118934513e-165
find_anomalies&reVLAT_NoVizChoices,8018.0,6.4570947050651e-155
Scatterplot&find_anomalies&reVLAT_NoVizChoices,40047.0,3.7594843903281926e-117
Scatterplot&find_clusters,0.0,3.325859118934513e-165
find_clusters,8183.0,1.042906496035444e-154
find_clusters&ChatGPT,29.0,3.628412009493992e-165
Scatterplot&find_clusters&ChatGPT,0.0,3.325859118934513e-165
find_clusters&reVLAT_VizChoices&ChatGPT,1.0,3.3358599511910646e-165
Scatterplot&find_clusters&reVLAT_VizChoices&ChatGPT,0.0,3.325859118934513e-165
find_clusters&reVLAT_NoVizChoices&ChatGPT,5186.0,1.6382291198538799e-158
Scatterplot&find_clusters&reVLAT_NoVizChoices&ChatGPT,178059.0,2.7402012941387978e-15
find_clusters&Gemini,36.0,3.7054687557653872e-165
Scatterplot&find_clusters&Gemini,0.0,3.325859118934513e-165
find_clusters&reVLAT_VizChoices&Gemini,3.0,3.3559518029314626e-165
Scatterplot&find_clusters&reVLAT_VizChoices&Gemini,0.0,3.325859118934513e-165
find_clusters&reVLAT_NoVizChoices&Gemini,12468.0,2.3757872902642633e-149
Scatterplot&find_clusters&reVLAT_NoVizChoices&Gemini,111878.0,7.98693898548505e-52
find_clusters&reVLAT_VizChoices,2004.0,1.3323269772485687e-162
Scatterplot&find_clusters&reVLAT_VizChoices,0.0,3.325859118934513e-165
find_clusters&reVLAT_NoVizChoices,40181.0,5.271471484747278e-117
Scatterplot&find_clusters&reVLAT_NoVizChoices,131453.0,1.1640142373352329e-38
Scatterplot&find_correlations_trends,87.0,4.3184607610226256e-165
Scatterplot&find_correlations_trends&ChatGPT,0.0,3.325859118934513e-165
Scatterplot&find_correlations_trends&reVLAT_VizChoices&ChatGPT,0.0,3.325859118934513e-165
Scatterplot&find_correlations_trends&reVLAT_NoVizChoices&ChatGPT,6630.0,1.1297017569531743e-156
Scatterplot&find_correlations_trends&Gemini,0.0,3.325859118934513e-165
Scatterplot&find_correlations_trends&reVLAT_VizChoices&Gemini,0.0,3.325859118934513e-165
Scatterplot&find_correlations_trends&reVLAT_NoVizChoices&Gemini,4613.0,3.0324458353217565e-159
Scatterplot&find_correlations_trends&reVLAT_VizChoices,0.0,3.325859118934513e-165
Scatterplot&find_correlations_trends&reVLAT_NoVizChoices,60558.0,9.133826160593722e-96
Scatterplot&make_comparisons,0.0,3.325859118934513e-165
Scatterplot&make_comparisons&ChatGPT,0.0,3.325859118934513e-165
Scatterplot&make_comparisons&reVLAT_VizChoices&ChatGPT,0.0,3.325859118934513e-165
Scatterplot&make_comparisons&reVLAT_NoVizChoices&ChatGPT,0.0,3.325859118934513e-165
Scatterplot&make_comparisons&Gemini,0.0,3.325859118934513e-165
Scatterplot&make_comparisons&reVLAT_VizChoices&Gemini,0.0,3.325859118934513e-165
Scatterplot&make_comparisons&reVLAT_NoVizChoices&Gemini,0.0,3.325859118934513e-165
Scatterplot&make_comparisons&reVLAT_VizChoices,0.0,3.325859118934513e-165
Scatterplot&make_comparisons&reVLAT_NoVizChoices,30394.0,5.681078487536666e-128
Bubble_Chart&retrieve_value,0.0,3.325859118934513e-165
Bubble_Chart,47.0,3.8298730478417535e-165
Bubble_Chart&ChatGPT,0.0,3.325859118934513e-165
Bubble_Chart&retrieve_value&ChatGPT,1.0,3.3358599511910646e-165
Bubble_Chart&reVLAT_VizChoices&ChatGPT,0.0,3.325859118934513e-165
Bubble_Chart&retrieve_value&reVLAT_VizChoices&ChatGPT,8135.0,9.071733867390636e-155
Bubble_Chart&reVLAT_NoVizChoices&ChatGPT,7270.0,7.317884251978026e-156
Bubble_Chart&retrieve_value&reVLAT_NoVizChoices&ChatGPT,0.0,3.325859118934513e-165
Bubble_Chart&Gemini,0.0,3.325859118934513e-165
Bubble_Chart&retrieve_value&Gemini,131900.0,2.204886954329821e-38
Bubble_Chart&reVLAT_VizChoices&Gemini,0.0,3.325859118934513e-165
Bubble_Chart&retrieve_value&reVLAT_VizChoices&Gemini,7998.0,6.092424884028244e-155
Bubble_Chart&reVLAT_NoVizChoices&Gemini,22495.0,3.4657679399025256e-137
Bubble_Chart&retrieve_value&reVLAT_NoVizChoices&Gemini,1509.0,3.045562351331186e-163
Bubble_Chart&reVLAT_VizChoices,124053.0,2.1034759206335277e-43
Bubble_Chart&retrieve_value&reVLAT_VizChoices,29668.0,8.33753201788944e-129
Bubble_Chart&reVLAT_NoVizChoices,9501.0,4.7457951422080616e-153
Bubble_Chart&retrieve_value&reVLAT_NoVizChoices,0.0,3.325859118934513e-165
Bubble_Chart&find_extremum,0.0,3.325859118934513e-165
Bubble_Chart&find_extremum&ChatGPT,298.0,8.133062795663053e-165
Bubble_Chart&find_extremum&reVLAT_VizChoices&ChatGPT,0.0,3.325859118934513e-165
Bubble_Chart&find_extremum&reVLAT_NoVizChoices&ChatGPT,38891.0,2.01744071088129e-118
Bubble_Chart&find_extremum&Gemini,33992.0,6.986412438080296e-124
Bubble_Chart&find_extremum&reVLAT_VizChoices&Gemini,22727.0,6.5322248677956335e-137
Bubble_Chart&find_extremum&reVLAT_NoVizChoices&Gemini,20999.0,5.729557511731416e-139
Bubble_Chart&find_extremum&reVLAT_VizChoices,0.0,3.325859118934513e-165
Bubble_Chart&find_extremum&reVLAT_NoVizChoices,47121.0,1.5759840680761547e-109
Bubble_Chart&determine_range,96.0,4.43670309682529e-165
Bubble_Chart&determine_range&ChatGPT,116146.0,8.742690017154846e-49
Bubble_Chart&determine_range&reVLAT_VizChoices&ChatGPT,0.0,3.325859118934513e-165
Bubble_Chart&determine_range&reVLAT_NoVizChoices&ChatGPT,0.0,3.325859118934513e-165
Bubble_Chart&determine_range&Gemini,6615.0,1.0812362055284133e-156
Bubble_Chart&determine_range&reVLAT_VizChoices&Gemini,0.0,3.325859118934513e-165
Bubble_Chart&determine_range&reVLAT_NoVizChoices&Gemini,1879.0,9.180717439564239e-163
Bubble_Chart&determine_range&reVLAT_VizChoices,1.0,3.3358599511910646e-165
Bubble_Chart&determine_range&reVLAT_NoVizChoices,0.0,3.325859118934513e-165
Bubble_Chart&find_anomalies,0.0,3.325859118934513e-165
Bubble_Chart&find_anomalies&ChatGPT,0.0,3.325859118934513e-165
Bubble_Chart&find_anomalies&reVLAT_VizChoices&ChatGPT,0.0,3.325859118934513e-165
Bubble_Chart&find_anomalies&reVLAT_NoVizChoices&ChatGPT,3069.0,3.1571352048035332e-161
Bubble_Chart&find_anomalies&Gemini,1566.0,3.6102556922273015e-163
Bubble_Chart&find_anomalies&reVLAT_VizChoices&Gemini,0.0,3.325859118934513e-165
Bubble_Chart&find_anomalies&reVLAT_NoVizChoices&Gemini,0.0,3.325859118934513e-165
Bubble_Chart&find_anomalies&reVLAT_VizChoices,0.0,3.325859118934513e-165
Bubble_Chart&find_anomalies&reVLAT_NoVizChoices,228837.0,0.019082327414919584
Bubble_Chart&find_clusters,0.0,3.325859118934513e-165
Bubble_Chart&find_clusters&ChatGPT,0.0,3.325859118934513e-165
Bubble_Chart&find_clusters&reVLAT_VizChoices&ChatGPT,0.0,3.325859118934513e-165
Bubble_Chart&find_clusters&reVLAT_NoVizChoices&ChatGPT,35600.0,4.4700754751197715e-122
Bubble_Chart&find_clusters&Gemini,0.0,3.325859118934513e-165
Bubble_Chart&find_clusters&reVLAT_VizChoices&Gemini,0.0,3.325859118934513e-165
Bubble_Chart&find_clusters&reVLAT_NoVizChoices&Gemini,100797.0,3.722518072177683e-60
Bubble_Chart&find_clusters&reVLAT_VizChoices,1.0,3.3358599511910646e-165
Bubble_Chart&find_clusters&reVLAT_NoVizChoices,29404.0,4.142920009806609e-129
Bubble_Chart&find_correlations_trends,0.0,3.325859118934513e-165
Bubble_Chart&find_correlations_trends&ChatGPT,0.0,3.325859118934513e-165
Bubble_Chart&find_correlations_trends&reVLAT_VizChoices&ChatGPT,0.0,3.325859118934513e-165
Bubble_Chart&find_correlations_trends&reVLAT_NoVizChoices&ChatGPT,0.0,3.325859118934513e-165
Bubble_Chart&find_correlations_trends&Gemini,0.0,3.325859118934513e-165
Bubble_Chart&find_correlations_trends&reVLAT_VizChoices&Gemini,0.0,3.325859118934513e-165
Bubble_Chart&find_correlations_trends&reVLAT_NoVizChoices&Gemini,105.0,4.558178568583242e-165
Bubble_Chart&find_correlations_trends&reVLAT_VizChoices,9403.0,3.57547845412163e-153
Bubble_Chart&find_correlations_trends&reVLAT_NoVizChoices,0.0,3.325859118934513e-165
Bubble_Chart&make_comparisons,0.0,3.325859118934513e-165
Bubble_Chart&make_comparisons&ChatGPT,0.0,3.325859118934513e-165
Bubble_Chart&make_comparisons&reVLAT_VizChoices&ChatGPT,0.0,3.325859118934513e-165
Bubble_Chart&make_comparisons&reVLAT_NoVizChoices&ChatGPT,71259.0,1.7816274799350924e-85
Bubble_Chart&make_comparisons&Gemini,0.0,3.325859118934513e-165
Bubble_Chart&make_comparisons&reVLAT_VizChoices&Gemini,28481.0,3.569052010481922e-130
Bubble_Chart&make_comparisons&reVLAT_NoVizChoices&Gemini,3.0,3.3559518029314626e-165
Bubble_Chart&make_comparisons&reVLAT_VizChoices,0.0,3.325859118934513e-165
Bubble_Chart&make_comparisons&reVLAT_NoVizChoices,16051.0,6.059163404186774e-145
Area_Chart&retrieve_value,0.0,3.325859118934513e-165
Area_Chart,0.0,3.325859118934513e-165
Area_Chart&ChatGPT,0.0,3.325859118934513e-165
Area_Chart&retrieve_value&ChatGPT,8720.0,4.953236093624273e-154
Area_Chart&reVLAT_VizChoices&ChatGPT,0.0,3.325859118934513e-165
Area_Chart&retrieve_value&reVLAT_VizChoices&ChatGPT,83156.0,9.848338241597528e-75
Area_Chart&reVLAT_NoVizChoices&ChatGPT,0.0,3.325859118934513e-165
Area_Chart&retrieve_value&reVLAT_NoVizChoices&ChatGPT,192755.0,3.1030303935168014e-10
Area_Chart&Gemini,0.0,3.325859118934513e-165
Area_Chart&retrieve_value&Gemini,0.0,3.325859118934513e-165
Area_Chart&reVLAT_VizChoices&Gemini,0.0,3.325859118934513e-165
Area_Chart&retrieve_value&reVLAT_VizChoices&Gemini,0.0,3.325859118934513e-165
Area_Chart&reVLAT_NoVizChoices&Gemini,0.0,3.325859118934513e-165
Area_Chart&retrieve_value&reVLAT_NoVizChoices&Gemini,15915.0,4.133985814728749e-145
Area_Chart&reVLAT_VizChoices,0.0,3.325859118934513e-165
Area_Chart&retrieve_value&reVLAT_VizChoices,0.0,3.325859118934513e-165
Area_Chart&reVLAT_NoVizChoices,0.0,3.325859118934513e-165
Area_Chart&retrieve_value&reVLAT_NoVizChoices,11325.0,9.037288658157825e-151
Area_Chart&find_extremum,278.0,7.659577165275452e-165
Area_Chart&find_extremum&ChatGPT,28853.0,9.598796334013585e-130
Area_Chart&find_extremum&reVLAT_VizChoices&ChatGPT,0.0,3.325859118934513e-165
Area_Chart&find_extremum&reVLAT_NoVizChoices&ChatGPT,5.0,3.3761645060984663e-165
Area_Chart&find_extremum&Gemini,155366.0,2.8644661538110427e-25
Area_Chart&find_extremum&reVLAT_VizChoices&Gemini,0.0,3.325859118934513e-165
Area_Chart&find_extremum&reVLAT_NoVizChoices&Gemini,0.0,3.325859118934513e-165
Area_Chart&find_extremum&reVLAT_VizChoices,25661.0,1.870862455726879e-133
Area_Chart&find_extremum&reVLAT_NoVizChoices,228278.0,0.01616767585785788
Area_Chart&determine_range,0.0,3.325859118934513e-165
Area_Chart&determine_range&ChatGPT,0.0,3.325859118934513e-165
Area_Chart&determine_range&reVLAT_VizChoices&ChatGPT,0.0,3.325859118934513e-165
Area_Chart&determine_range&reVLAT_NoVizChoices&ChatGPT,928.0,5.367152857860099e-164
Area_Chart&determine_range&Gemini,136283.0,1.020736083859703e-35
Area_Chart&determine_range&reVLAT_VizChoices&Gemini,0.0,3.325859118934513e-165
Area_Chart&determine_range&reVLAT_NoVizChoices&Gemini,159.0,5.360043364833154e-165
Area_Chart&determine_range&reVLAT_VizChoices,0.0,3.325859118934513e-165
Area_Chart&determine_range&reVLAT_NoVizChoices,50549.0,6.278110667419284e-106
Area_Chart&find_correlations_trends,0.0,3.325859118934513e-165
Area_Chart&find_correlations_trends&ChatGPT,0.0,3.325859118934513e-165
Area_Chart&find_correlations_trends&reVLAT_VizChoices&ChatGPT,0.0,3.325859118934513e-165
Area_Chart&find_correlations_trends&reVLAT_NoVizChoices&ChatGPT,0.0,3.325859118934513e-165
Area_Chart&find_correlations_trends&Gemini,38662.0,1.1280521221867883e-118
Area_Chart&find_correlations_trends&reVLAT_VizChoices&Gemini,0.0,3.325859118934513e-165
Area_Chart&find_correlations_trends&reVLAT_NoVizChoices&Gemini,0.0,3.325859118934513e-165
Area_Chart&find_correlations_trends&reVLAT_VizChoices,0.0,3.325859118934513e-165
Area_Chart&find_correlations_trends&reVLAT_NoVizChoices,15488.0,1.2428425280332785e-145
Stacked_Area_Chart&retrieve_value,0.0,3.325859118934513e-165
Stacked_Area_Chart,0.0,3.325859118934513e-165
Stacked_Area_Chart&ChatGPT,0.0,3.325859118934513e-165
Stacked_Area_Chart&retrieve_value&ChatGPT,0.0,3.325859118934513e-165
Stacked_Area_Chart&reVLAT_VizChoices&ChatGPT,0.0,3.325859118934513e-165
Stacked_Area_Chart&retrieve_value&reVLAT_VizChoices&ChatGPT,0.0,3.325859118934513e-165
Stacked_Area_Chart&reVLAT_NoVizChoices&ChatGPT,12239.0,1.2356646117772504e-149
Stacked_Area_Chart&retrieve_value&reVLAT_NoVizChoices&ChatGPT,0.0,3.325859118934513e-165
Stacked_Area_Chart&Gemini,0.0,3.325859118934513e-165
Stacked_Area_Chart&retrieve_value&Gemini,0.0,3.325859118934513e-165
Stacked_Area_Chart&reVLAT_VizChoices&Gemini,0.0,3.325859118934513e-165
Stacked_Area_Chart&retrieve_value&reVLAT_VizChoices&Gemini,2020.0,1.397355592595022e-162
Stacked_Area_Chart&reVLAT_NoVizChoices&Gemini,232139.0,0.04742623083961472
Stacked_Area_Chart&retrieve_value&reVLAT_NoVizChoices&Gemini,1356.0,1.9288574203201826e-163
Stacked_Area_Chart&reVLAT_VizChoices,4900.0,7.062140771915861e-159
Stacked_Area_Chart&retrieve_value&reVLAT_VizChoices,0.0,3.325859118934513e-165
Stacked_Area_Chart&reVLAT_NoVizChoices,19081.0,2.863166281840694e-141
Stacked_Area_Chart&retrieve_value&reVLAT_NoVizChoices,0.0,3.325859118934513e-165
Stacked_Area_Chart&find_extremum,0.0,3.325859118934513e-165
Stacked_Area_Chart&find_extremum&ChatGPT,0.0,3.325859118934513e-165
Stacked_Area_Chart&find_extremum&reVLAT_VizChoices&ChatGPT,0.0,3.325859118934513e-165
Stacked_Area_Chart&find_extremum&reVLAT_NoVizChoices&ChatGPT,0.0,3.325859118934513e-165
Stacked_Area_Chart&find_extremum&Gemini,116272.0,1.0713619045497583e-48
Stacked_Area_Chart&find_extremum&reVLAT_VizChoices&Gemini,250.0,7.042587342534141e-165
Stacked_Area_Chart&find_extremum&reVLAT_NoVizChoices&Gemini,6597.0,1.0258105637222538e-156
Stacked_Area_Chart&find_extremum&reVLAT_VizChoices,12.0,3.447871192296812e-165
Stacked_Area_Chart&find_extremum&reVLAT_NoVizChoices,194275.0,8.946214369457807e-10
Stacked_Area_Chart&find_correlations_trends,0.0,3.325859118934513e-165
Stacked_Area_Chart&find_correlations_trends&ChatGPT,0.0,3.325859118934513e-165
Stacked_Area_Chart&find_correlations_trends&reVLAT_VizChoices&ChatGPT,0.0,3.325859118934513e-165
Stacked_Area_Chart&find_correlations_trends&reVLAT_NoVizChoices&ChatGPT,0.0,3.325859118934513e-165
Stacked_Area_Chart&find_correlations_trends&Gemini,0.0,3.325859118934513e-165
Stacked_Area_Chart&find_correlations_trends&reVLAT_VizChoices&Gemini,0.0,3.325859118934513e-165
Stacked_Area_Chart&find_correlations_trends&reVLAT_NoVizChoices&Gemini,94.0,4.410150677404557e-165
Stacked_Area_Chart&find_correlations_trends&reVLAT_VizChoices,0.0,3.325859118934513e-165
Stacked_Area_Chart&find_correlations_trends&reVLAT_NoVizChoices,0.0,3.325859118934513e-165
Stacked_Area_Chart&make_comparisons,0.0,3.325859118934513e-165
Stacked_Area_Chart&make_comparisons&ChatGPT,0.0,3.325859118934513e-165
Stacked_Area_Chart&make_comparisons&reVLAT_VizChoices&ChatGPT,197783.0,9.29232697721017e-09
Stacked_Area_Chart&make_comparisons&reVLAT_NoVizChoices&ChatGPT,0.0,3.325859118934513e-165
Stacked_Area_Chart&make_comparisons&Gemini,14513.0,7.92596307395121e-147
Stacked_Area_Chart&make_comparisons&reVLAT_VizChoices&Gemini,0.0,3.325859118934513e-165
Stacked_Area_Chart&make_comparisons&reVLAT_NoVizChoices&Gemini,0.0,3.325859118934513e-165
Stacked_Area_Chart&make_comparisons&reVLAT_VizChoices,0.0,3.325859118934513e-165
Stacked_Area_Chart&make_comparisons&reVLAT_NoVizChoices,114152.0,3.415493832026769e-50
Choropleth_Map&retrieve_value,0.0,3.325859118934513e-165
Choropleth_Map,0.0,3.325859118934513e-165
Choropleth_Map&ChatGPT,0.0,3.325859118934513e-165
Choropleth_Map&retrieve_value&ChatGPT,0.0,3.325859118934513e-165
Choropleth_Map&reVLAT_VizChoices&ChatGPT,0.0,3.325859118934513e-165
Choropleth_Map&retrieve_value&reVLAT_VizChoices&ChatGPT,0.0,3.325859118934513e-165
Choropleth_Map&reVLAT_NoVizChoices&ChatGPT,0.0,3.325859118934513e-165
Choropleth_Map&retrieve_value&reVLAT_NoVizChoices&ChatGPT,0.0,3.325859118934513e-165
Choropleth_Map&Gemini,0.0,3.325859118934513e-165
Choropleth_Map&retrieve_value&Gemini,0.0,3.325859118934513e-165
Choropleth_Map&reVLAT_VizChoices&Gemini,0.0,3.325859118934513e-165
Choropleth_Map&retrieve_value&reVLAT_VizChoices&Gemini,0.0,3.325859118934513e-165
Choropleth_Map&reVLAT_NoVizChoices&Gemini,0.0,3.325859118934513e-165
Choropleth_Map&retrieve_value&reVLAT_NoVizChoices&Gemini,0.0,3.325859118934513e-165
Choropleth_Map&reVLAT_VizChoices,0.0,3.325859118934513e-165
Choropleth_Map&retrieve_value&reVLAT_VizChoices,0.0,3.325859118934513e-165
Choropleth_Map&reVLAT_NoVizChoices,1.0,3.3358599511910646e-165
Choropleth_Map&retrieve_value&reVLAT_NoVizChoices,2221.0,2.5420761657826074e-162
Choropleth_Map&find_extremum,0.0,3.325859118934513e-165
Choropleth_Map&find_extremum&ChatGPT,0.0,3.325859118934513e-165
Choropleth_Map&find_extremum&reVLAT_VizChoices&ChatGPT,0.0,3.325859118934513e-165
Choropleth_Map&find_extremum&reVLAT_NoVizChoices&ChatGPT,0.0,3.325859118934513e-165
Choropleth_Map&find_extremum&Gemini,1.0,3.3358599511910646e-165
Choropleth_Map&find_extremum&reVLAT_VizChoices&Gemini,0.0,3.325859118934513e-165
Choropleth_Map&find_extremum&reVLAT_NoVizChoices&Gemini,0.0,3.325859118934513e-165
Choropleth_Map&find_extremum&reVLAT_VizChoices,0.0,3.325859118934513e-165
Choropleth_Map&find_extremum&reVLAT_NoVizChoices,27068.0,8.20297941057315e-132
Choropleth_Map&make_comparisons,0.0,3.325859118934513e-165
Choropleth_Map&make_comparisons&ChatGPT,0.0,3.325859118934513e-165
Choropleth_Map&make_comparisons&reVLAT_VizChoices&ChatGPT,0.0,3.325859118934513e-165
Choropleth_Map&make_comparisons&reVLAT_NoVizChoices&ChatGPT,1006.0,6.777368765411417e-164
Choropleth_Map&make_comparisons&Gemini,0.0,3.325859118934513e-165
Choropleth_Map&make_comparisons&reVLAT_VizChoices&Gemini,0.0,3.325859118934513e-165
Choropleth_Map&make_comparisons&reVLAT_NoVizChoices&Gemini,998.0,6.61715136494421e-164
Choropleth_Map&make_comparisons&reVLAT_VizChoices,0.0,3.325859118934513e-165
Choropleth_Map&make_comparisons&reVLAT_NoVizChoices,1001.0,6.676784758184199e-164
Treemap&find_extremum,0.0,3.325859118934513e-165
Treemap,0.0,3.325859118934513e-165
Treemap&ChatGPT,84935.0,3.44040871103939e-73
Treemap&find_extremum&ChatGPT,59354.0,5.830035387343533e-97
Treemap&reVLAT_VizChoices&ChatGPT,276.0,7.613769914640716e-165
Treemap&find_extremum&reVLAT_VizChoices&ChatGPT,73536.0,2.3104771150899107e-83
Treemap&reVLAT_NoVizChoices&ChatGPT,0.0,3.325859118934513e-165
Treemap&find_extremum&reVLAT_NoVizChoices&ChatGPT,0.0,3.325859118934513e-165
Treemap&Gemini,0.0,3.325859118934513e-165
Treemap&find_extremum&Gemini,0.0,3.325859118934513e-165
Treemap&reVLAT_VizChoices&Gemini,0.0,3.325859118934513e-165
Treemap&find_extremum&reVLAT_VizChoices&Gemini,0.0,3.325859118934513e-165
Treemap&reVLAT_NoVizChoices&Gemini,1.0,3.3358599511910646e-165
Treemap&find_extremum&reVLAT_NoVizChoices&Gemini,179728.0,1.1677899604619162e-14
Treemap&reVLAT_VizChoices,2009.0,1.352316978717818e-162
Treemap&find_extremum&reVLAT_VizChoices,90894.0,3.8575898629198855e-68
Treemap&reVLAT_NoVizChoices,121754.0,6.189890948257122e-45
Treemap&find_extremum&reVLAT_NoVizChoices,0.0,3.325859118934513e-165
Treemap&make_comparisons,118.0,4.739530510108662e-165
Treemap&make_comparisons&ChatGPT,0.0,3.325859118934513e-165
Treemap&make_comparisons&reVLAT_VizChoices&ChatGPT,0.0,3.325859118934513e-165
Treemap&make_comparisons&reVLAT_NoVizChoices&ChatGPT,0.0,3.325859118934513e-165
Treemap&make_comparisons&Gemini,0.0,3.325859118934513e-165
Treemap&make_comparisons&reVLAT_VizChoices&Gemini,0.0,3.325859118934513e-165
Treemap&make_comparisons&reVLAT_NoVizChoices&Gemini,110998.0,1.8365031733061317e-52
Treemap&make_comparisons&reVLAT_VizChoices,42601.0,2.2756717916260486e-114
Treemap&make_comparisons&reVLAT_NoVizChoices,0.0,3.325859118934513e-165
Treemap&identify_the_hierarchical_structure,0.0,3.325859118934513e-165
identify_the_hierarchical_structure,0.0,3.325859118934513e-165
identify_the_hierarchical_structure&ChatGPT,0.0,3.325859118934513e-165
Treemap&identify_the_hierarchical_structure&ChatGPT,0.0,3.325859118934513e-165
identify_the_hierarchical_structure&reVLAT_VizChoices&ChatGPT,0.0,3.325859118934513e-165
Treemap&identify_the_hierarchical_structure&reVLAT_VizChoices&ChatGPT,0.0,3.325859118934513e-165
identify_the_hierarchical_structure&reVLAT_NoVizChoices&ChatGPT,0.0,3.325859118934513e-165
Treemap&identify_the_hierarchical_structure&reVLAT_NoVizChoices&ChatGPT,0.0,3.325859118934513e-165
identify_the_hierarchical_structure&Gemini,0.0,3.325859118934513e-165
Treemap&identify_the_hierarchical_structure&Gemini,0.0,3.325859118934513e-165
identify_the_hierarchical_structure&reVLAT_VizChoices&Gemini,0.0,3.325859118934513e-165
Treemap&identify_the_hierarchical_structure&reVLAT_VizChoices&Gemini,0.0,3.325859118934513e-165
identify_the_hierarchical_structure&reVLAT_NoVizChoices&Gemini,0.0,3.325859118934513e-165
Treemap&identify_the_hierarchical_structure&reVLAT_NoVizChoices&Gemini,0.0,3.325859118934513e-165
identify_the_hierarchical_structure&reVLAT_VizChoices,1.0,3.3358599511910646e-165
Treemap&identify_the_hierarchical_structure&reVLAT_VizChoices,1.0,3.3358599511910646e-165
identify_the_hierarchical_structure&reVLAT_NoVizChoices,2648.0,9.048542290786517e-162
Treemap&identify_the_hierarchical_structure&reVLAT_NoVizChoices,2648.0,9.048542290786517e-162
intercept,0.0,3.325859118934513e-165
